,County,State,Outbreak Date,Flock Type,Flock Size,State Abbrev,fips,lng,lat
157,Cherokee,Iowa,2022-12-12,Commercial Turkey Meat Bird,50000,IA,19035,-95.62389402,42.73538914
158,Wadena,Minnesota,2022-12-12,Commercial Turkey Meat Bird,298100,MN,27159,-94.9700148,46.5856535
159,Sac,Iowa,2022-12-12,Commercial Turkey Meat Bird,50000,IA,19161,-95.10547892,42.38624071
160,Hanson,South Dakota,2022-12-12,Commercial Turkey Meat Bird,23900,SD,46061,-97.78704306,43.67458361
161,Buena Vista,Iowa,2022-12-12,Commercial Turkey Meat Bird,51200,IA,19021,-95.15100162,42.73545875
162,Palo Alto,Iowa,2024-12-11,Commercial Turkey Meat Bird,31100,IA,19147,-94.67824621,43.08193849
163,Sioux,Iowa,2024-12-11,Commercial Table Egg Layer,1575700,IA,19167,-96.17809424,43.08294203
164,Dodge,Nebraska,2024-12-11,WOAH Non-Poultry,10,NE,31053,-96.6539044,41.57781563
165,Brule,South Dakota,2024-12-11,Commercial Turkey Meat Bird,50900,SD,46015,-99.08125406,43.71816719
166,Adair,Oklahoma,2024-12-11,WOAH Poultry,40000,OK,40001,-94.65863245,35.88406262
167,Olmsted,Minnesota,2023-12-11,Commercial Turkey Breeder Hens,14400,MN,27109,-92.40209709,44.00380771
168,Tulare,California,2024-12-10,Commercial Broiler Production,330200,CA,6107,-118.8004216,36.22081997
169,Moody,South Dakota,2024-12-10,Commercial Turkey Meat Bird,46700,SD,46101,-96.67091097,44.02224521
170,Daviess,Missouri,2024-12-10,WOAH Poultry,19900,MO,29061,-93.98514508,39.96169076
